taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
309,2016-12-5 21:15:00,2016-12-5 21:15:00,420,1.4,,676,32,28,7.25,3.00,0.00,0.00,10.25,Credit Card,107,18,610,779,81
336,2016-12-13 22:45:00,2016-12-13 22:45:00,300,0.6,,970,8,8,5.75,0.00,0.00,0.00,5.75,Cash,107,688,206,210,470
4463,2016-12-2 18:00:00,2016-12-2 18:30:00,1380,2.3,,787,28,8,12.00,2.40,0.00,0.00,14.40,Credit Card,28,411,545,161,649
4573,2016-12-9 18:00:00,2016-12-9 18:15:00,900,0,,40,32,28,8.75,1.00,0.00,0.00,9.75,Credit Card,8,18,610,395,408
8267,2016-12-18 02:00:00,2016-12-18 02:15:00,420,1.1,,787,8,8,6.50,0.00,0.00,0.00,6.50,Cash,101,754,410,161,649
2125,2016-12-27 16:00:00,2016-12-27 16:00:00,120,0.1,,911,8,8,3.75,0.00,0.00,2.00,5.75,Cash,109,688,206,688,206
3040,2016-12-16 21:45:00,2016-12-16 22:15:00,1980,8,,18,8,3,26.00,5.20,0.00,0.00,31.20,Credit Card,101,754,410,510,331
8081,2016-12-10 12:30:00,2016-12-10 12:45:00,960,5.1,,694,32,7,16.25,0.00,0.00,0.00,16.25,Credit Card,107,18,610,595,671
5029,2016-12-21 19:30:00,2016-12-21 19:45:00,900,0,,959,32,8,9.25,0.00,0.00,0.00,9.25,Cash,82,18,610,167,754
907,2016-12-30 20:45:00,2016-12-30 21:00:00,180,0.6,,16,32,32,4.75,0.00,0.00,0.00,4.75,No Charge,101,744,605,18,610
2870,2016-12-8 20:00:00,2016-12-8 20:15:00,420,0.9,,504,8,32,6.50,0.00,0.00,0.00,6.50,Cash,107,294,113,744,605
5242,2016-12-20 12:30:00,2016-12-20 12:45:00,420,0,,749,32,28,6.75,2.00,0.00,1.00,9.75,Credit Card,107,18,610,681,196
4284,2016-12-28 19:15:00,2016-12-28 19:30:00,1020,1.8,,749,32,28,10.00,0.00,0.00,1.50,11.50,Cash,101,18,610,681,196
7042,2016-12-10 00:15:00,2016-12-10 00:15:00,180,0.9,,792,28,8,5.50,2.00,0.00,1.00,8.50,Credit Card,107,411,545,419,615
6353,2016-12-6 13:00:00,2016-12-6 13:00:00,420,0,,504,8,32,7.75,0.00,0.00,0.00,7.75,Cash,8,161,649,744,605
4496,2016-12-13 09:30:00,2016-12-13 09:45:00,360,0.5,,16,28,32,5.25,0.00,0.00,0.00,5.25,Cash,109,395,408,18,610
8634,2016-12-17 18:15:00,2016-12-17 18:30:00,480,1.4,,792,32,8,7.25,2.00,0.00,1.00,10.25,Credit Card,82,18,610,419,615
682,2016-12-31 08:45:00,2016-12-31 09:00:00,1140,12.1,,959,56,8,31.25,0.00,0.00,5.00,36.25,Cash,92,433,757,167,754
8269,2016-12-16 18:45:00,2016-12-16 19:00:00,660,1,,792,8,8,8.25,0.00,0.00,1.00,9.25,Cash,107,413,636,419,615
6113,2016-12-13 19:30:00,2016-12-13 19:45:00,960,1.9,,307,8,32,9.75,2.00,0.00,0.00,11.75,Credit Card,92,161,649,64,231
1168,2016-12-6 08:15:00,2016-12-6 08:15:00,180,0.7,,40,32,28,5.00,0.00,0.00,0.00,5.00,Cash,107,744,605,395,408
4685,2016-12-31 22:00:00,2016-12-31 22:15:00,720,0.1,,982,8,7,9.25,2.55,0.00,1.00,12.80,Credit Card,8,688,206,618,407
8258,2016-12-7 13:45:00,2016-12-7 13:45:00,360,1.1,,16,32,32,6.25,2.00,0.00,0.00,8.25,Credit Card,43,744,605,18,610
6435,2016-12-18 02:00:00,2016-12-18 02:00:00,60,0,,225,8,8,3.75,0.00,0.00,1.50,5.25,Cash,107,754,410,754,410
1426,2016-12-10 18:30:00,2016-12-10 18:45:00,480,0.6,,899,8,8,6.25,0.00,0.00,1.00,7.25,Cash,92,294,113,170,351
5825,2016-12-16 22:15:00,2016-12-16 22:15:00,180,1.1,,40,32,28,5.75,0.00,0.00,1.00,6.75,Cash,107,64,231,395,408
8541,2016-12-17 13:15:00,2016-12-17 13:15:00,300,0,,807,32,28,6.00,0.00,0.00,2.00,8.00,Cash,109,64,231,411,545
64,2016-12-8 18:30:00,2016-12-8 18:45:00,540,1.4,,398,28,24,7.50,0.00,0.00,0.00,7.50,Cash,107,411,545,100,696
5507,2016-12-11 01:15:00,2016-12-11 01:15:00,420,0,,911,8,8,6.25,0.00,0.00,0.00,6.25,Cash,8,754,410,688,206
8696,2016-12-14 11:30:00,2016-12-14 11:30:00,300,0.6,,899,8,8,5.25,0.00,0.00,0.00,5.25,Cash,43,767,733,170,351
7026,2016-12-24 18:15:00,2016-12-24 18:30:00,600,2.3,,1010,8,28,9.50,0.00,0.00,1.00,10.50,Cash,82,419,615,700,659
8629,2016-12-6 20:45:00,2016-12-6 21:00:00,480,1.7,,534,8,8,7.50,0.00,0.00,0.00,7.50,No Charge,101,419,615,454,453
5793,2016-12-14 14:30:00,2016-12-14 14:45:00,360,0,,40,32,28,5.75,2.00,0.00,0.00,7.75,Credit Card,107,18,610,395,408
4680,2016-12-22 17:45:00,2016-12-22 18:00:00,960,0,,676,32,28,9.75,0.00,0.00,1.00,10.75,Cash,107,744,605,779,81
1443,2016-12-22 16:15:00,2016-12-22 16:30:00,840,0,,543,32,7,14.50,0.00,0.00,0.00,14.50,Cash,101,64,231,730,775
1167,2016-12-28 11:30:00,2016-12-28 11:30:00,240,0,,504,8,32,5.50,0.00,0.00,0.00,5.50,Cash,107,167,754,744,605
2673,2016-12-16 00:30:00,2016-12-16 00:30:00,180,0,,40,32,28,5.50,2.00,0.00,0.00,7.50,Credit Card,107,18,610,395,408
6094,2016-12-16 14:45:00,2016-12-16 14:45:00,420,0,,40,32,28,6.50,0.00,0.00,0.00,6.50,Cash,8,744,605,395,408
